R_fighter;B_fighter;Winner
Martin Day;Davey Grant;Davey Grant
Luis Pena;Khama Worthy;Khama Worthy
Philipe Lins;Tanner Boser;Tanner Boser
Gian Villante;Maurice Greene;Maurice Greene
Sean Woodson;Julian Erosa;Julian Erosa
Mike Perry;Mickey Gall;Mike Perry
Dustin Poirier;Dan Hooker;Dustin Poirier
Brendan Allen;Kyle Daukaus;Brendan Allen
Takashi Sato;Jason Witt;Takashi Sato
Jordan Griffin;Youssef Zalal;Youssef Zalal
Kay Hansen;Jinh Yu Frey;Kay Hansen
Jim Miller;Roosevelt Roberts;Jim Miller
Marc-Andre Barriault;Oskar Piechota;
Clay Guida;Bobby Green;Bobby Green
Belal Muhammad;Lyman Good;Belal Muhammad
Curtis Blaydes;Alexander Volkov;Curtis Blaydes
Josh Emmett;Shane Burgos;Josh Emmett
Tecia Torres;Brianna Van Buren;Tecia Torres
Raquel Pennington;Marion Reneau;Raquel Pennington
Cortney Casey;Gillian Robertson;Gillian Robertson
Frank Camacho;Justin Jaynes;Justin Jaynes
Roxanne Modafferi;Lauren Murphy;Lauren Murphy
Austin Hubbard;Max Rohskopf;Austin Hubbard
Mariya Agapova;Hannah Cifers;Mariya Agapova
Andre Fili;Charles Jourdain;Andre Fili
Merab Dvalishvili;Gustavo Lopez;Merab Dvalishvili
Jordan Espinosa;Mark De La Rosa;Jordan Espinosa
Karl Roberson;Marvin Vettori;Marvin Vettori
Charles Rosa;Kevin Aguilar;Charles Rosa
Jessica Eye;Cynthia Calvillo;Cynthia Calvillo
Julia Avila;Gina Mazany;Julia Avila
Anthony Ivy;Christian Aguilera;Christian Aguilera
Tyson Nam;Zarrukh Adashev;Tyson Nam
Cody Stamann;Brian Kelleher;Cody Stamann
Eddie Wineland;Sean O'Malley;Sean O'Malley
Alex Caceres;Chase Hooper;Alex Caceres
Raphael Assuncao;Cody Garbrandt;Cody Garbrandt
Amanda Nunes;Felicia Spencer;Amanda Nunes
Aljamain Sterling;Cory Sandhagen;Aljamain Sterling
Neil Magny;Anthony Rocco Martin;Neil Magny
Ian Heinisch;Gerald Meerschaert;Ian Heinisch
Charles Byrd;Maki Pitolo;Maki Pitolo
Evan Dunham;Herbert Burns;Herbert Burns
Alonzo Menifield;Devin Clark;Devin Clark
Jussier Formiga;Alex Perez;Alex Perez
Blagoy Ivanov;Augusto Sakai;Augusto Sakai
Jamahal Hill;Klidson Abreu;
Mackenzie Dern;Hannah Cifers;Mackenzie Dern
Daniel Rodriguez;Gabe Green;Daniel Rodriguez
Katlyn Chookagian;Antonina Shevchenko;Katlyn Chookagian
Tyron Woodley;Gilbert Burns;Gilbert Burns
Roosevelt Roberts;Brok Weaver;Roosevelt Roberts
Billy Quarantillo;Spike Carlyle;Billy Quarantillo
Tim Elliott;Brandon Royval;Brandon Royval
Louis Smolka;Casey Kenney;Casey Kenney
Chris Gutierrez;Vince Morales;Chris Gutierrez
Dan Ige;Edson Barboza;Dan Ige
Claudia Gadelha;Angela Hill;Claudia Gadelha
Anthony Hernandez;Kevin Holland;Kevin Holland
Giga Chikadze;Irwin Rivera;Giga Chikadze
Eryk Anders;Krzysztof Jotko;Krzysztof Jotko
Matt Brown;Miguel Baeza;Miguel Baeza
Alistair Overeem;Walt Harris;Alistair Overeem
Song Yadong;Marlon Vera;Song Yadong
Cortney Casey;Mara Romero Borella;Cortney Casey
Darren Elkins;Nate Landwehr;Nate Landwehr
Rodrigo Nascimento;Don'Tale Mayes;Rodrigo Nascimento
