R_fighter;B_fighter;Winner
Ovince Saint Preux;Marcos Rogerio de Lima;Ovince Saint Preux
Al Iaquinta;Diego Sanchez;Al Iaquinta
Joe Lauzon;Stevie Ray;Stevie Ray
Jake Ellenberger;Mike Perry;Mike Perry
Hector Sandoval;Matt Schnell;Hector Sandoval
Jessica Penne;Danielle Taylor;Danielle Taylor
Scott Holtzman;Michael McBride;Scott Holtzman
Alexis Davis;Cindy Dandois;Alexis Davis
Bryan Barberena;Joe Proctor;Bryan Barberena
Demetrious Johnson;Wilson Reis;Demetrious Johnson
Louis Smolka;Tim Elliott;Tim Elliott
Jacare Souza;Robert Whittaker;Robert Whittaker
Patrick Williams;Tom Duquesnoy;Tom Duquesnoy
Rose Namajunas;Michelle Waterson;Rose Namajunas
Jeremy Stephens;Renato Moicano;Renato Moicano
Bobby Green;Rashid Magomedov;Rashid Magomedov
Alexander Volkov;Roy Nelson;Alexander Volkov
Aljamain Sterling;Augusto Mendes;Aljamain Sterling
Devin Clark;Jake Collier;Devin Clark
Ashlee Evans-Smith;Ketlen Vieira;Ketlen Vieira
Zak Cummings;Nathan Coy;Zak Cummings
Anthony Smith;Andrew Sanchez;Anthony Smith
Kamaru Usman;Sean Strickland;Kamaru Usman
Chris Weidman;Gegard Mousasi;Gegard Mousasi
Myles Jury;Mike de la Torre;Myles Jury
Shane Burgos;Charles Rosa;Shane Burgos
Will Brooks;Charles Oliveira;Charles Oliveira
Thiago Alves;Patrick Cote;Thiago Alves
Cynthia Calvillo;Pearl Gonzalez;Cynthia Calvillo
Gregor Gillespie;Andrew Holbrook;Gregor Gillespie
Daniel Cormier;Anthony Johnson;Daniel Cormier
Patrick Cummins;Jan Blachowicz;Patrick Cummins
Jenel Lausa;Bibulatov Magomed;Bibulatov Magomed
Josh Emmett;Desmond Green;Desmond Green
Katlyn Chookagian;Irene Aldana;Katlyn Chookagian
Leon Edwards;Vicente Luque;Leon Edwards
Daniel Omielanczuk;Timothy Johnson;Timothy Johnson
Darren Stewart;Francimar Barroso;Francimar Barroso
Gunnar Nelson;Alan Jouban;Gunnar Nelson
Jimi Manuwa;Corey Anderson;Jimi Manuwa
Joe Duffy;Reza Madadi;Joe Duffy
Arnold Allen;Makwan Amirkhani;Arnold Allen
Brad Pickett;Marlon Vera;Marlon Vera
Brad Scott;Scott Askham;Brad Scott
Marc Diakiese;Teemu Packalen;Marc Diakiese
Lina Lansberg;Lucie Pudilova;Lina Lansberg
Bethe Correia;Marion Reneau;
Alex Oliveira;Tim Means;Alex Oliveira
Vitor Belfort;Kelvin Gastelum;
Edson Barboza;Beneil Dariush;Edson Barboza
Mauricio Rua;Gian Villante;Mauricio Rua
Francisco Trinaldo;Kevin Lee;Kevin Lee
Jussier Formiga;Ray Borg;Ray Borg
Sergio Moraes;Davi Ramos;Sergio Moraes
Michel Prazeres;Joshua Burkman;Michel Prazeres
Rani Yahya;Joe Soto;Joe Soto
Rony Jason;Jeremy Kennedy;Jeremy Kennedy
Garreth McLellan;Paulo Costa;Paulo Costa
Amanda Cooper;Cynthia Calvillo;Cynthia Calvillo
Rashad Evans;Daniel Kelly;Daniel Kelly
Iuri Alcantara;Luke Sanders;Iuri Alcantara
Lando Vannata;David Teymur;David Teymur
Marcin Tybura;Luis Henrique;Marcin Tybura
Mirsad Bektic;Darren Elkins;Darren Elkins
Tyron Woodley;Stephen Thompson;Tyron Woodley
Alistair Overeem;Mark Hunt;Alistair Overeem
Albert Morales;Andre Soukhamthath;Albert Morales
Tyson Pedro;Paul Craig;Tyson Pedro
Mark Godbeer;Daniel Spitz;Mark Godbeer
Derrick Lewis;Travis Browne;Derrick Lewis
Sam Sicilia;Gavin Tucker;Gavin Tucker
Elias Theodorou;Cezar Ferreira;Elias Theodorou
Carla Esparza;Randa Markos;Randa Markos
Sara McMann;Gina Mazany;Sara McMann
Nordine Taleb;Santiago Ponzinibbio;Santiago Ponzinibbio
Johny Hendricks;Hector Lombard;Johny Hendricks
Paul Felder;Alex Ricci;Paul Felder
Jack Marshman;Thiago Santos;Thiago Santos
Gerald Meerschaert;Ryan Janes;Gerald Meerschaert
Aiemann Zahabi;Reginaldo Vieira;Aiemann Zahabi
Jacare Souza;Tim Boetsch;Jacare Souza
Glover Teixeira;Jared Cannonier;Glover Teixeira
Holly Holm;Germaine de Randamie;Germaine de Randamie
Dustin Poirier;Jim Miller;Dustin Poirier
Wilson Reis;Yuta Sasaki;Wilson Reis
Anderson Silva;Derek Brunson;Anderson Silva
Randy Brown;Belal Muhammad;Belal Muhammad
Nik Lentz;Islam Makhachev;Islam Makhachev
Rick Glenn;Phillipe Nover;Rick Glenn
Ryan LaFlare;Roan Carneiro;Ryan LaFlare
Jessica Andrade;Angela Hill;Jessica Andrade
Chas Skelly;Chris Gruetzemacher;Chas Skelly
Abel Trujillo;James Vick;James Vick
Anthony Hamilton;Marcel Fortuna;Marcel Fortuna
Adam Milstead;Curtis Blaydes;
Ovince Saint Preux;Volkan Oezdemir;Volkan Oezdemir
Alexa Grasso;Felice Herrig;Felice Herrig
Dennis Bermudez;Chan Sung Jung;Chan Sung Jung
Ricardo Ramos;Michinori Tanaka;Ricardo Ramos
Tecia Torres;Bec Rawlings;Tecia Torres
Daniel Jolly;Khalil Rountree Jr.;Khalil Rountree Jr.
Alex Morono;Niko Price;
Alex Caceres;Jason Knight;Jason Knight
Henrique da Silva;Jordan Johnson;Jordan Johnson
Bobby Nash;Li Jingliang;Li Jingliang
Nate Marquardt;Sam Alvey;Sam Alvey
Valentina Shevchenko;Julianna Pena;Valentina Shevchenko
Donald Cerrone;Jorge Masvidal;Jorge Masvidal
Andrei Arlovski;Francis Ngannou;Francis Ngannou
Raphael Assuncao;Aljamain Sterling;Raphael Assuncao
Eric Spicely;Alessio Di Chirico;Eric Spicely
Alexandre Pantoja;Eric Shelton;Alexandre Pantoja
Marcos Rogerio de Lima;Jeremy Kimball;Marcos Rogerio de Lima
Jason Gonzalez;JC Cottrell;Jason Gonzalez
Frankie Saenz;Augusto Mendes;Augusto Mendes
Joe Lauzon;Marcin Held;Joe Lauzon
John Moraga;Sergio Pettis;Sergio Pettis
Anthony Rocco Martin;Alex White;Anthony Rocco Martin
Aleksei Oleinik;Viktor Pesta;Aleksei Oleinik
Devin Powell;Drakkar Klose;Drakkar Klose
Court McGee;Ben Saunders;Ben Saunders
Yair Rodriguez;BJ Penn;Yair Rodriguez
Bojan Mihajlovic;Joachim Christensen;Joachim Christensen
Walt Harris;Chase Sherman;Walt Harris
Dmitrii Smoliakov;Cyril Asker;Cyril Asker
Jocelyn Jones-Lybarger;Nina Ansaroff;Nina Ansaroff
Dong Hyun Kim;Tarec Saffiedine;Dong Hyun Kim
Louis Smolka;Ray Borg;Ray Borg
TJ Dillashaw;John Lineker;TJ Dillashaw
Amanda Nunes;Ronda Rousey;Amanda Nunes
Johny Hendricks;Neil Magny;Neil Magny
Mike Pyle;Alex Garcia;Alex Garcia
Antonio Carlos Junior;Marvin Vettori;Antonio Carlos Junior
Dominick Cruz;Cody Garbrandt;Cody Garbrandt
Alex Oliveira;Tim Means;
Brandon Thatch;Niko Price;Niko Price
Paige VanZant;Michelle Waterson;Michelle Waterson
Alan Jouban;Mike Perry;Alan Jouban
Henrique da Silva;Paul Craig;Paul Craig
James Moontasri;Alex Morono;Alex Morono
Cole Miller;Mizuto Hirota;Mizuto Hirota
Bryan Barberena;Colby Covington;Colby Covington
Sage Northcutt;Mickey Gall;Mickey Gall
Urijah Faber;Brad Pickett;Urijah Faber
Josh Emmett;Scott Holtzman;Josh Emmett
Eddie Wineland;Takeya Mizugaki;Eddie Wineland
Leslie Smith;Irene Aldana;Leslie Smith
Hector Sandoval;Fredy Serrano;Hector Sandoval
Bojan Velickovic;Sultan Aliev;Sultan Aliev
Donald Cerrone;Matt Brown;Donald Cerrone
Cub Swanson;Dooho Choi;Cub Swanson
Jordan Mein;Emil Meek;Emil Meek
Max Holloway;Anthony Pettis;Max Holloway
Valerie Letourneau;Viviane Pereira;Viviane Pereira
Nikita Krylov;Misha Cirkunov;Misha Cirkunov
Olivier Aubin-Mercier;Drew Dober;Olivier Aubin-Mercier
Tim Kennedy;Kelvin Gastelum;Kelvin Gastelum
Mitch Gagnon;Matthew Lopez;Matthew Lopez
Zach Makovsky;Dustin Ortiz;Dustin Ortiz
John Makdessi;Lando Vannata;Lando Vannata
Jason Saggo;Rustam Khabilov;Rustam Khabilov
Andrew Sanchez;Trevor Smith;Andrew Sanchez
Francis Ngannou;Anthony Hamilton;Francis Ngannou
Randy Brown;Brian Camozzi;Randy Brown
Corey Anderson;Sean O'Connell;Corey Anderson
Joseph Gigliotti;Gerald Meerschaert;Gerald Meerschaert
Gian Villante;Saparbeg Safarov;Gian Villante
Derrick Lewis;Shamil Abdurakhimov;Derrick Lewis
Justine Kish;Ashley Yoder;Justine Kish
Tiago dos Santos e Silva;Shane Burgos;Shane Burgos
Frankie Perez;Marc Diakiese;Marc Diakiese
Juliana Lima;JJ Aldrich;Juliana Lima
Keith Berish;Ryan Janes;Ryan Janes
Jake Ellenberger;Jorge Masvidal;Jorge Masvidal
Sara McMann;Alexis Davis;Sara McMann
Ion Cutelaba;Jared Cannonier;Jared Cannonier
Demetrious Johnson;Tim Elliott;Demetrious Johnson
Gray Maynard;Ryan Hall;Ryan Hall
Rob Font;Matt Schnell;Rob Font
Joseph Benavidez;Henry Cejudo;Joseph Benavidez
Brandon Moreno;Ryan Benoit;Brandon Moreno
Kailin Curran;Jamie Moyle;Jamie Moyle
Josh Stansbury;Devin Clark;Devin Clark
Elvis Mutapcic;Anthony Smith;Anthony Smith
Dong Hyun Ma;Brendan O'Reilly;Dong Hyun Ma
Daniel Kelly;Chris Camozzi;Daniel Kelly
Khalil Rountree Jr.;Tyson Pedro;Tyson Pedro
Kyle Noke;Omari Akhmedov;Omari Akhmedov
Yusuke Kasuya;Alexander Volkanovski;Alexander Volkanovski
Damien Brown;Jon Tuck;Damien Brown
Jake Matthews;Andrew Holbrook;Andrew Holbrook
Seo Hee Ham;Danielle Taylor;Danielle Taylor
Robert Whittaker;Derek Brunson;Robert Whittaker
Richard Walsh;Jonathan Meunier;Jonathan Meunier
Dan Hooker;Jason Knight;Jason Knight
Marlon Vera;Guangyou Ning;Marlon Vera
Ben Nguyen;Geane Herrera;Ben Nguyen
Yao Zhikui;Jenel Lausa;Jenel Lausa
Marcos Rogerio de Lima;Gadzhimurad Antigulov;Gadzhimurad Antigulov
Cezar Ferreira;Jack Hermansson;Cezar Ferreira
Sergio Moraes;Zak Ottow;Sergio Moraes
Claudia Gadelha;Cortney Casey;Claudia Gadelha
Thomas Almeida;Albert Morales;Thomas Almeida
Warlley Alves;Kamaru Usman;Kamaru Usman
Thales Leites;Krzysztof Jotko;Krzysztof Jotko
Ryan Bader;Rogerio Nogueira;Ryan Bader
Francimar Barroso;Darren Stewart;
Luis Henrique;Christian Colombo;Luis Henrique
Johnny Eduardo;Manvel Gamburyan;Johnny Eduardo
Pedro Munhoz;Justin Scoggins;Pedro Munhoz
Kevin Lee;Magomed Mustafaev;Kevin Lee
Magnus Cedenblad;Jack Marshman;Jack Marshman
Artem Lobov;Teruto Ishihara;Artem Lobov
Kyoji Horiguchi;Ali Bagautinov;Kyoji Horiguchi
Ross Pearson;Stevie Ray;Stevie Ray
Anna Elmose;Amanda Cooper;Amanda Cooper
Gegard Mousasi;Uriah Hall;Gegard Mousasi
Timothy Johnson;Alexander Volkov;Alexander Volkov
Zak Cummings;Alexander Yakovlev;Zak Cummings
Marion Reneau;Milana Dudieva;Marion Reneau
Justin Ledet;Mark Godbeer;Justin Ledet
Brett Johns;Kwan Ho Kwak;Brett Johns
Charlie Ward;Abdul Razak Alhassan;Abdul Razak Alhassan
Tyron Woodley;Stephen Thompson;
Khabib Nurmagomedov;Michael Johnson;Khabib Nurmagomedov
Frankie Edgar;Jeremy Stephens;Frankie Edgar
Rafael Natal;Tim Boetsch;Tim Boetsch
Chris Weidman;Yoel Romero;Yoel Romero
Miesha Tate;Raquel Pennington;Raquel Pennington
Eddie Alvarez;Conor McGregor;Conor McGregor
Vicente Luque;Belal Muhammad;Vicente Luque
Joanna Jedrzejczyk;Karolina Kowalkiewicz;Joanna Jedrzejczyk
Jim Miller;Thiago Alves;Jim Miller
Liz Carmouche;Katlyn Chookagian;Liz Carmouche
Marco Beltran;Joe Soto;Joe Soto
Ricardo Lamas;Charles Oliveira;Ricardo Lamas
Beneil Dariush;Rashid Magomedov;Beneil Dariush
Martin Bravo;Claudio Puelles;Martin Bravo
Diego Sanchez;Marcin Held;Diego Sanchez
Rafael Dos Anjos;Tony Ferguson;Tony Ferguson
Erik Perez;Felipe Arantes;Erik Perez
Alexa Grasso;Heather Clark;Alexa Grasso
Erick Montano;Max Griffin;Max Griffin
Sam Alvey;Alex Nicholson;Sam Alvey
Henry Briones;Douglas Silva de Andrade;Douglas Silva de Andrade
Marco Polo Reyes;Jason Novelli;Marco Polo Reyes
Enrique Barzola;Chris Avila;Enrique Barzola
Brad Pickett;Iuri Alcantara;Iuri Alcantara
Vitor Belfort;Gegard Mousasi;Gegard Mousasi
Leon Edwards;Albert Tumenov;Leon Edwards
Davey Grant;Damian Stasiak;Damian Stasiak
Ovince Saint Preux;Jimi Manuwa;Jimi Manuwa
Michael Bisping;Dan Henderson;Michael Bisping
Mirsad Bektic;Russell Doane;Mirsad Bektic
Stefan Struve;Daniel Omielanczuk;Stefan Struve
Lukasz Sajewski;Marc Diakiese;Marc Diakiese
Leonardo Santos;Adriano Martins;Leonardo Santos
Danny Roberts;Mike Perry;Mike Perry
Shamil Abdurakhimov;Walt Harris;Shamil Abdurakhimov
Henrique da Silva;Joachim Christensen;Henrique da Silva
Joshua Burkman;Zak Ottow;Zak Ottow
Will Brooks;Alex Oliveira;Alex Oliveira
Hacran Dias;Andre Fili;Andre Fili
John Lineker;John Dodson;John Lineker
Keita Nakamura;Elizeu Zaleski dos Santos;Elizeu Zaleski dos Santos
Nate Marquardt;Tamdan McCrory;Nate Marquardt
Louis Smolka;Brandon Moreno;Brandon Moreno
Cody East;Curtis Blaydes;Curtis Blaydes
Jonathan Wilson;Ion Cutelaba;Ion Cutelaba
Kelly Faszholz;Ketlen Vieira;Ketlen Vieira
Rani Yahya;Michinori Tanaka;Rani Yahya
Renan Barao;Phillipe Nover;Renan Barao
Thiago Santos;Eric Spicely;Eric Spicely
Godofredo Pepey;Mike de la Torre;Godofredo Pepey
Gilbert Burns;Michel Prazeres;Michel Prazeres
Roy Nelson;Antonio Silva;Roy Nelson
Cristiane Justino;Lina Lansberg;Cristiane Justino
Francisco Trinaldo;Paul Felder;Francisco Trinaldo
Jussier Formiga;Dustin Ortiz;Jussier Formiga
Erick Silva;Luan Chagas;Erick Silva
Vicente Luque;Hector Urbina;Vicente Luque
Alan Patrick;Stevie Ray;Alan Patrick
Glaico Franca Moreira;Gregor Gillespie;Gregor Gillespie
Dustin Poirier;Michael Johnson;Michael Johnson
Chris Wade;Islam Makhachev;Islam Makhachev
Evan Dunham;Rick Glenn;Evan Dunham
Roan Carneiro;Kenny Robertson;Roan Carneiro
Gabriel Benitez;Sam Sicilia;Gabriel Benitez
Uriah Hall;Derek Brunson;Derek Brunson
Chas Skelly;Maximo Blanco;Chas Skelly
Augusto Montano;Belal Muhammad;Belal Muhammad
Erick Montano;Randy Brown;Randy Brown
Antonio Carlos Junior;Leonardo Guimaraes;Antonio Carlos Junior
Alejandro Perez;Albert Morales;
Jose Quinonez;Joey Gomez;Jose Quinonez
Nik Lentz;Michael McBride;Nik Lentz
Stipe Miocic;Alistair Overeem;Stipe Miocic
CM Punk;Mickey Gall;Mickey Gall
Urijah Faber;Jimmie Rivera;Jimmie Rivera
Jessica Andrade;Joanne Calderwood;Jessica Andrade
Fabricio Werdum;Travis Browne;Fabricio Werdum
Brad Tavares;Caio Magalhaes;Brad Tavares
Jessica Eye;Bethe Correia;Bethe Correia
Drew Dober;Jason Gonzalez;Drew Dober
Yancy Medeiros;Sean Spencer;Yancy Medeiros
Ryan Bader;Ilir Latifi;Ryan Bader
Peter Sobotta;Nicolas Dalby;Peter Sobotta
Ashlee Evans-Smith;Veronica Macedo;Ashlee Evans-Smith
Taylor Lapilus;Leandro Issa;Taylor Lapilus
Nick Hein;Tae Hyun Bang;Nick Hein
Andrei Arlovski;Josh Barnett;Josh Barnett
Jessin Ayari;Jim Wallhead;Jessin Ayari
Alexander Gustafsson;Jan Blachowicz;Alexander Gustafsson
Jarjis Danho;Christian Colombo;
Scott Askham;Jack Hermansson;Jack Hermansson
Rustam Khabilov;Leandro Silva;Rustam Khabilov
Sam Alvey;Kevin Casey;Sam Alvey
Garreth McLellan;Alessio Di Chirico;Alessio Di Chirico
Anthony Pettis;Charles Oliveira;Anthony Pettis
Joe Lauzon;Jim Miller;Jim Miller
Shane Campbell;Felipe Silva;Felipe Silva
Demian Maia;Carlos Condit;Demian Maia
Enrique Barzola;Kyle Bochniak;Kyle Bochniak
Paige VanZant;Bec Rawlings;Paige VanZant
Chad Laprise;Thibault Gouti;Chad Laprise
Jeremy Kennedy;Alex Ricci;Jeremy Kennedy
Cody Garbrandt;Takeya Mizugaki;Cody Garbrandt
Artem Lobov;Chris Avila;Artem Lobov
Rick Story;Donald Cerrone;Donald Cerrone
Raquel Pennington;Elizabeth Phillips;Raquel Pennington
Hyun Gyu Lim;Mike Perry;Mike Perry
Anthony Johnson;Glover Teixeira;Anthony Johnson
Tim Means;Sabah Homasi;Tim Means
Nate Diaz;Conor McGregor;Conor McGregor
Colby Covington;Max Griffin;Colby Covington
Randa Markos;Cortney Casey;Cortney Casey
Neil Magny;Lorenz Larkin;Lorenz Larkin
Alberto Uda;Marvin Vettori;Marvin Vettori
Viktor Pesta;Marcin Tybura;Marcin Tybura
Court McGee;Dominique Steele;Court McGee
Thales Leites;Chris Camozzi;Thales Leites
Trevor Smith;Joseph Gigliotti;Trevor Smith
Santiago Ponzinibbio;Zak Cummings;Santiago Ponzinibbio
Dennis Bermudez;Rony Jason;Dennis Bermudez
Maryna Moroz;Danielle Taylor;Maryna Moroz
Yair Rodriguez;Alex Caceres;Yair Rodriguez
David Teymur;Jason Novelli;David Teymur
Teruto Ishihara;Horacio Gutierrez;Teruto Ishihara
Chase Sherman;Justin Ledet;Justin Ledet
Cub Swanson;Tatsuya Kawajiri;Cub Swanson
Ryan Benoit;Fredy Serrano;Ryan Benoit
Rose Namajunas;Karolina Kowalkiewicz;Karolina Kowalkiewicz
Francisco Rivera;Erik Perez;Erik Perez
Nikita Krylov;Ed Herman;Nikita Krylov
Matt Brown;Jake Ellenberger;Jake Ellenberger
Anthony Hamilton;Damian Grabowski;Anthony Hamilton
Ross Pearson;Jorge Masvidal;Jorge Masvidal
Robbie Lawler;Tyron Woodley;Tyron Woodley
Wilson Reis;Hector Sandoval;Wilson Reis
Michael Graves;Bojan Velickovic;
Cesar Arzamendia;Damien Brown;Damien Brown
Kamaru Usman;Alexander Yakovlev;Kamaru Usman
Felice Herrig;Kailin Curran;Felice Herrig
Francis Ngannou;Bojan Mihajlovic;Francis Ngannou
Frankie Saenz;Eddie Wineland;Eddie Wineland
Holly Holm;Valentina Shevchenko;Valentina Shevchenko
Edson Barboza;Gilbert Melendez;Edson Barboza
Darren Elkins;Godofredo Pepey;Darren Elkins
Michel Prazeres;JC Cottrell;Michel Prazeres
Alex Oliveira;James Moontasri;Alex Oliveira
Luis Henrique;Dmitrii Smoliakov;Luis Henrique
Jim Alers;Jason Knight;Jason Knight
Louis Smolka;Ben Nguyen;Louis Smolka
Tim Boetsch;Josh Samman;Tim Boetsch
Tony Ferguson;Lando Vannata;Tony Ferguson
Kyle Noke;Keita Nakamura;Keita Nakamura
Michael McDonald;John Lineker;John Lineker
Lauren Murphy;Katlyn Chookagian;Katlyn Chookagian
Aleksei Oleinik;Daniel Omielanczuk;Daniel Omielanczuk
Eric Spicely;Sam Alvey;Sam Alvey
Cortney Casey;Cristina Stanciu;Cortney Casey
Devin Clark;Alex Nicholson;Alex Nicholson
Rani Yahya;Matthew Lopez;Rani Yahya
Scott Holtzman;Cody Pfister;Scott Holtzman
Jose Aldo;Frankie Edgar;Jose Aldo
Cain Velasquez;Travis Browne;Cain Velasquez
Miesha Tate;Amanda Nunes;Amanda Nunes
Cat Zingano;Julianna Pena;Julianna Pena
TJ Dillashaw;Raphael Assuncao;TJ Dillashaw
Daniel Cormier;Anderson Silva;Daniel Cormier
Brock Lesnar;Mark Hunt;
Johny Hendricks;Kelvin Gastelum;Kelvin Gastelum
Diego Sanchez;Joe Lauzon;Joe Lauzon
Sage Northcutt;Enrique Marin;Sage Northcutt
Gegard Mousasi;Thiago Santos;Gegard Mousasi
Jim Miller;Takanori Gomi;Jim Miller
Joanna Jedrzejczyk;Claudia Gadelha;Joanna Jedrzejczyk
Joaquim Silva;Andrew Holbrook;Joaquim Silva
Andrew Sanchez;Khalil Rountree Jr.;Andrew Sanchez
Ross Pearson;Will Brooks;Will Brooks
Tatiana Suarez;Amanda Cooper;Tatiana Suarez
Dooho Choi;Thiago Tavares;Dooho Choi
John Moraga;Matheus Nicolau;Matheus Nicolau
Gray Maynard;Fernando Bruno;Gray Maynard
Jake Matthews;Kevin Lee;Kevin Lee
Cory Hendricks;Josh Stansbury;Josh Stansbury
Cezar Ferreira;Anthony Smith;Cezar Ferreira
Li Jingliang;Anton Zafir;Li Jingliang
Rafael Dos Anjos;Eddie Alvarez;Eddie Alvarez
Russell Doane;Pedro Munhoz;Pedro Munhoz
Roy Nelson;Derrick Lewis;Derrick Lewis
Joe Duffy;Mitch Clarke;Joe Duffy
John Makdessi;Mehdi Baghdad;John Makdessi
Mike Pyle;Alberto Mina;Alberto Mina
Anthony Birchak;Dileno Lopes;Anthony Birchak
Gilbert Burns;Lukasz Sajewski;Gilbert Burns
Alan Jouban;Belal Muhammad;Alan Jouban
Felipe Arantes;Jerrod Sanders;Felipe Arantes
Marco Beltran;Reginaldo Vieira;Marco Beltran
Vicente Luque;Alvaro Herrera Mendoza;Vicente Luque
Tamdan McCrory;Krzysztof Jotko;Krzysztof Jotko
Misha Cirkunov;Ion Cutelaba;Misha Cirkunov
Valerie Letourneau;Joanne Calderwood;Joanne Calderwood
Rory MacDonald;Stephen Thompson;Stephen Thompson
Steve Bosse;Sean O'Connell;Steve Bosse
Olivier Aubin-Mercier;Thibault Gouti;Olivier Aubin-Mercier
Donald Cerrone;Patrick Cote;Donald Cerrone
Jason Saggo;Leandro Silva;Jason Saggo
Randa Markos;Jocelyn Jones-Lybarger;Randa Markos
Elias Theodorou;Sam Alvey;Elias Theodorou
Chris Beal;Joe Soto;Joe Soto
Colby Covington;Jonathan Meunier;Colby Covington
Ali Bagautinov;Geane Herrera;Ali Bagautinov
Luke Rockhold;Michael Bisping;Michael Bisping
Max Holloway;Ricardo Lamas;Max Holloway
Jessica Penne;Jessica Andrade;Jessica Andrade
Brian Ortega;Clay Guida;Brian Ortega
Beneil Dariush;James Vick;Beneil Dariush
Dan Henderson;Hector Lombard;Dan Henderson
Dominick Cruz;Urijah Faber;Dominick Cruz
Dustin Poirier;Bobby Green;Dustin Poirier
Kevin Casey;Elvis Mutapcic;
Jonathan Wilson;Henrique da Silva;Henrique da Silva
Cole Miller;Alex Caceres;Alex Caceres
Sean Strickland;Tom Breese;Sean Strickland
Marco Polo Reyes;Dong Hyun Ma;Marco Polo Reyes
Jorge Masvidal;Lorenz Larkin;Lorenz Larkin
Thomas Almeida;Cody Garbrandt;Cody Garbrandt
Chris Camozzi;Vitor Miranda;Chris Camozzi
Sara McMann;Jessica Eye;Sara McMann
Joshua Burkman;Paul Felder;Paul Felder
Renan Barao;Jeremy Stephens;Jeremy Stephens
Tarec Saffiedine;Rick Story;Rick Story
Abel Trujillo;Jordan Rinaldi;Abel Trujillo
Jake Collier;Alberto Uda;Jake Collier
Erik Koch;Shane Campbell;Erik Koch
Aljamain Sterling;Bryan Caraway;Bryan Caraway
Chris de la Rocha;Adam Milstead;Adam Milstead
Thiago Santos;Nate Marquardt;Thiago Santos
Francisco Trinaldo;Yancy Medeiros;Francisco Trinaldo
Mauricio Rua;Corey Anderson;Mauricio Rua
Cristiane Justino;Leslie Smith;Cristiane Justino
Fabricio Werdum;Stipe Miocic;Stipe Miocic
Demian Maia;Matt Brown;Demian Maia
Jacare Souza;Vitor Belfort;Jacare Souza
Warlley Alves;Bryan Barberena;Bryan Barberena
John Lineker;Rob Font;John Lineker
Sergio Moraes;Luan Chagas;
Renato Moicano;Zubaira Tukhugov;Renato Moicano
Rogerio Nogueira;Patrick Cummins;Rogerio Nogueira
Antonio Silva;Stefan Struve;Stefan Struve
Albert Tumenov;Gunnar Nelson;Gunnar Nelson
Rustam Khabilov;Chris Wade;Rustam Khabilov
Alistair Overeem;Andrei Arlovski;Alistair Overeem
Nikita Krylov;Francimar Barroso;Nikita Krylov
Karolina Kowalkiewicz;Heather Clark;Karolina Kowalkiewicz
Germaine de Randamie;Anna Elmose;Germaine de Randamie
Magnus Cedenblad;Garreth McLellan;Magnus Cedenblad
Jon Tuck;Josh Emmett;Josh Emmett
Kyoji Horiguchi;Neil Seery;Kyoji Horiguchi
Yan Cabral;Reza Madadi;Reza Madadi
Yuta Sasaki;Willie Gates;Yuta Sasaki
Leon Edwards;Dominic Waters;Leon Edwards
Yair Rodriguez;Andre Fili;Yair Rodriguez
Anthony Pettis;Edson Barboza;Edson Barboza
Danny Roberts;Dominique Steele;Danny Roberts
Sergio Pettis;Chris Kelades;Sergio Pettis
Carla Esparza;Juliana Lima;Carla Esparza
Jon Jones;Ovince Saint Preux;Jon Jones
Demetrious Johnson;Henry Cejudo;Demetrious Johnson
Robert Whittaker;Rafael Natal;Robert Whittaker
Glaico Franca Moreira;James Vick;James Vick
Walt Harris;Cody East;Walt Harris
Marcos Rogerio de Lima;Clint Hester;Marcos Rogerio de Lima
Efrain Escudero;Kevin Lee;Kevin Lee
Beneil Dariush;Michael Chiesa;Michael Chiesa
Bethe Correia;Raquel Pennington;Raquel Pennington
Court McGee;Santiago Ponzinibbio;Santiago Ponzinibbio
Randy Brown;Michael Graves;Michael Graves
Rose Namajunas;Tecia Torres;Rose Namajunas
Khabib Nurmagomedov;Darrell Horcher;Khabib Nurmagomedov
Cub Swanson;Hacran Dias;Cub Swanson
